"日付","買気配","売気配","高値","安値","5DMA","25DMA","75DMA"
"2019/10/01","107.70","107.73","108.46","107.61","107.86","107.21","107.43"
"2019/09/30","108.08","108.09","108.17","107.72","107.74","107.12","107.44"
"2019/09/27","107.91","107.94","108.17","107.63","107.62","107.05","107.44"
"2019/09/26","107.84","107.87","107.95","107.40","107.65","107.00","107.45"
"2019/09/25","107.77","107.78","107.88","106.97","107.77","106.93","107.45"
"2019/09/24","107.07","107.10","107.78","106.95","107.84","106.88","107.46"
"2019/09/20","107.51","107.54","108.08","107.51","108.04","106.86","107.48"
"2019/09/19","108.02","108.05","108.47","107.77","108.15","106.80","107.49"
"2019/09/18","108.44","108.47","108.47","108.04","108.11","106.71","107.49"
"2019/09/17","108.11","108.14","108.36","108.01","107.93","106.64","107.49"
"2019/09/13","108.08","108.09","108.26","107.90","107.75","106.55","107.51"
"2019/09/12","108.07","108.10","108.18","107.50","107.52","106.46","107.53"
"2019/09/11","107.85","107.86","107.85","107.47","107.29","106.39","107.55"
"2019/09/10","107.52","107.55","107.58","107.15","107.00","106.34","107.57"
"2019/09/09","107.25","107.26","107.26","106.74","106.68","106.27","107.59"
